sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi,nn_max_phi,nn_mean_phi,nn_std_phi,nn_min_theta,nn_max_theta,nn_mean_theta,nn_std_theta,nn_min_psi,nn_max_psi,nn_mean_psi,nn_std_psi,radius (m),period (s)
21,circle_xy,False,10.5,0.02,60,10,True,524,0.44891660499591957,12.607810799381696,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.18437327653926397,0.29955736559859614,-0.004113449323563335,0.13848754433337016,-0.7030018909863104,0.2851700299087421,-0.02300510179200755,0.20701186376085176,-0.09595843392236626,0.04952772936068542,0.004814235201146425,0.02126875923691768,True,3.0339252004632726,0.4679976958999002,-0.1951478755496951,0.3185737776088671,-0.005364456549714301,0.13735251076333213,-0.7002521568544426,0.28922137563116646,-0.02172585540676859,0.20557881146477716,-0.13045722422414108,0.0670062021332277,0.013388003226383855,0.039419296895350564,5.0,10.5
22,circle_xy,False,11.0,0.02,60,10,True,549,0.4243864060959496,13.007562302285805,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.178501307684415,0.2700375784735571,-0.003517480656603405,0.12672616347261473,-0.6782732244032058,0.2691420093903683,-0.021108930624907613,0.19421491805609783,-0.08393617467931017,0.03646226861533963,0.0033958171388498134,0.01753989253315442,True,2.6432325993664563,0.43772634046297126,-0.1803033381543224,0.2884187564121209,-0.004553788744345821,0.12613469870052763,-0.6868021871295743,0.26451754778989384,-0.02012945614504716,0.19287891268622995,-0.11608918811919802,0.06260578982675656,0.01285236185303059,0.03564624724971012,5.0,11.0
23,circle_xy,False,11.5,0.02,60,10,True,574,0.4064052956066824,17.099667098606005,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.16632099746564874,0.24278007140331007,-0.002860900831913824,0.11664121141646806,-0.6543907318014437,0.2523468409297669,-0.019557120829368953,0.18314494891371502,-0.0733348165678761,0.030689882112481595,0.0015628320568380396,0.014680270871267697,True,2.822694499278441,0.41139725169731944,-0.16629649756702158,0.26328587843717555,-0.0038471428514752467,0.11629338853409653,-0.6700824237606073,0.24458067001316883,-0.018675275001726707,0.18084776834355742,-0.10306785590862179,0.05896402686439846,0.012454098266709963,0.03238951220700889,5.0,11.5
24,circle_xy,False,12.0,0.02,60,10,True,599,0.3762759207672711,16.159393799491227,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.15298591886016225,0.22047200473431047,-0.0024954961323855446,0.10738560891721907,-0.6320306031698972,0.24420379061544917,-0.01760574390849466,0.17177208763490026,-0.06435120771101333,0.03169450539631756,0.0011009227422143554,0.012919090975666314,True,2.8575013973750174,0.3882533401391797,-0.1530601336970887,0.2422025785293119,-0.0032908564535977162,0.10753172725026458,-0.651264254378712,0.22723426751659664,-0.017384063175783105,0.16927060803445151,-0.09146228861270234,0.055863195052113214,0.01205379034253069,0.02953430903319798,5.0,12.0
25,circle_xy,False,12.5,0.02,60,10,True,624,0.3480119209189782,15.065820600371808,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.14209749113432604,0.20448933370794023,-0.002547474408820409,0.09875576033260758,-0.6097452037720246,0.2378903964892306,-0.015954151521601626,0.16106592302048994,-0.05647976424613274,0.029242835937808465,0.0009346593097503568,0.011123767606602055,True,2.8769566003466025,0.36729759527432193,-0.14045866390525702,0.22439430821528486,-0.002833887153208673,0.09973897047815278,-0.6319301403078357,0.21144609027361777,-0.016243997622771535,0.15864872079030398,-0.08182648683674004,0.052936125535574495,0.011534117775180918,0.02718587400352468,5.0,12.5
26,circle_xy,False,13.0,0.02,60,10,True,649,0.325196647482711,15.443321700207889,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.13101764371469288,0.19049997706331956,-0.002807775894322128,0.09098990763606439,-0.5888803600507369,0.2352653590843828,-0.014484026904062974,0.15140620855738307,-0.04977467346493681,0.031588630403261035,0.001446411966435944,0.010115601996949107,True,3.679192802286707,0.34858304622312936,-0.12764405806442175,0.209395530412029,-0.0024610113837613694,0.09274036781652638,-0.6130351246611538,0.19652017050386553,-0.015204273348461063,0.1490635208144874,-0.07413860247881295,0.05025738412832683,0.01101254239108776,0.025332992106775143,5.0,13.0
27,circle_xy,False,13.5,0.02,60,10,True,674,0.30765802449687096,21.3608156995615,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.12111701107652205,0.1772278526043822,-0.0025986368026882137,0.08466862350506028,-0.5704402545850197,0.22872119841881222,-0.01343228646148124,0.1427118721363201,-0.04414919216901333,0.028063346439140602,0.0013125874301932,0.008752537252242164,True,2.935884199338034,0.332087415473643,-0.11879564399046681,0.1966000927659352,-0.002164234212741618,0.08642554738910939,-0.5942350859948694,0.18337096831474883,-0.014250072816442711,0.14026578039397214,-0.06790165502947153,0.047589623894738815,0.010435957433282742,0.023937608505869064,5.0,13.5
28,circle_xy,False,14.0,0.02,60,10,True,699,0.29141748177444815,20.499987001530826,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.11236223851195395,0.1660848254620789,-0.0023674812343456608,0.07905969448639434,-0.5520495217123293,0.22200267838651652,-0.012464596661942043,0.13465740340010715,-0.03924752788842159,0.025013670417531157,0.001433821544722757,0.007659300340179905,True,3.3741980999475345,0.31759345567325564,-0.11106745120629748,0.1853029579527055,-0.0019114511307823559,0.08076682746621035,-0.5757427404059166,0.17183222714285798,-0.013377052954437113,0.13218764734816904,-0.06281519314582504,0.04503032735781522,0.009853883704904816,0.022964648980291446,5.0,14.0
29,circle_xy,False,14.5,0.02,60,10,True,724,0.27712433547541643,22.361712400917895,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.10465670798530465,0.1561052382869247,-0.0021737456432093538,0.07397964079567679,-0.5347516510444631,0.21493306273546595,-0.01164783709297455,0.1273743752631271,-0.03504909269791281,0.022305206271793346,0.0014896663621133907,0.006859187309870373,True,3.888996500056237,0.30457825385986326,-0.1037815920407773,0.17533342912369007,-0.0017069030286924242,0.07564529374708201,-0.5578219437127997,0.16196649795559193,-0.012569733904105408,0.1247822770294948,-0.058535668030540604,0.0425387140393874,0.009222031929650373,0.022245510989623983,5.0,14.5
30,circle_xy,False,15.0,0.02,60,10,True,749,0.2639925744916743,18.3938435993623,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.09800424481477112,0.14750231849565457,-0.002000195438309106,0.06940939355038317,-0.5197278135516314,0.20882886130172781,-0.010897772636680353,0.12072797325145188,-0.03143461516982256,0.020029394043785502,0.001797338950661558,0.006608454372876803,True,3.8070047001820058,0.2926601455899625,-0.09712053152326848,0.16647666008799394,-0.001527639995150428,0.07098162206370327,-0.5403104152329744,0.15576595922846256,-0.011822157336925812,0.11798051172090858,-0.054824424687346114,0.04080632533314453,0.008588145828889292,0.021633249599714098,5.0,15.0
31,circle_xy,False,15.5,0.02,60,10,True,774,0.25212226255099884,21.326066102599725,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.09200298056740966,0.14007862295894752,-0.0018449752418694372,0.06523773313075217,-0.5042682268529826,0.2030071139211658,-0.010232037728573532,0.11464014424946288,-0.028355021636864496,0.021973177020670937,0.0019619309942900845,0.0065652852753277854,True,3.4212646009400487,0.281843452584975,-0.09181668295770538,0.1586943820147108,-0.0013720996591114836,0.06671168413442169,-0.5234167625537618,0.15280037880184227,-0.01112470834166739,0.11175910330693554,-0.05151144142242514,0.041185555713346055,0.007980489824116194,0.021058809827834212,5.0,15.5
32,circle_xy,False,16.0,0.02,60,10,True,799,0.24131343831142957,23.621325100422837,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.0871927838354727,0.13272246093734139,-0.0016746406020872273,0.061525160922350254,-0.49057671344694337,0.19685643367727013,-0.009652937565187439,0.10901248055391005,-0.025785489378702595,0.0322170845504852,0.002563717023839191,0.007893682480442027,True,4.108495900291018,0.2721465200947866,-0.08801366433026364,0.1516849266596781,-0.0012313185242275471,0.06281617346136487,-0.5069502379349525,0.14995297086406803,-0.010469372892807192,0.10601431622818068,-0.04870503974991915,0.04116089170979035,0.007415504655021945,0.02053738498697348,5.0,16.0
33,circle_xy,False,16.5,0.02,60,10,True,824,0.23215466636378293,21.11668280104641,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.08304843776755062,0.12556078130532847,-0.0014996346368795603,0.05816020533997375,-0.47667949385523634,0.19009073194497125,-0.009175918583469328,0.10383503597250776,-0.023444097753072973,0.042150617958400936,0.00311216009147228,0.009559017101001346,True,4.397649801103398,0.2640015887283784,-0.08460298205131477,0.14505642487739015,-0.0010835251172519895,0.05930072797439603,-0.49016813510580926,0.14652489236015465,-0.009868092078218302,0.1005706657252205,-0.04622664752161025,0.04125285257196052,0.006948785308642829,0.020075654831940924,5.0,16.5
34,circle_xy,False,17.0,0.02,60,10,True,849,0.22319833099341765,23.320876398938708,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.07895113938425556,0.11786888241332054,-0.001407689918677628,0.054881995103534614,-0.46438558153363213,0.18482341177551265,-0.008708320465032632,0.0991016725603693,-0.021456349699574943,0.03851567090939401,0.002730190435355039,0.008612980095208339,True,3.6414237001445144,0.25684534956173616,-0.08114195646860284,0.13859931108973264,-0.0009484889107357955,0.056086810158809584,-0.4734667231253228,0.14349526804641707,-0.009355510480792157,0.09544848648111338,-0.04398872869241222,0.04171002741850759,0.006614934248812048,0.019699217876533177,5.0,17.0
35,circle_xy,False,17.5,0.02,60,10,True,874,0.21426460927806723,21.443330898764543,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.07501786934182483,0.11129741613609802,-0.0013277208816488298,0.05187763681962561,-0.4518757005560064,0.18079114853166342,-0.008243330863818638,0.09463147253185324,-0.019620765882541816,0.03516326161821706,0.0024009214052318484,0.00777068230951989,True,3.9127483980264515,0.24992580582042898,-0.07787120077823176,0.13258856623775317,-0.0008367501882915462,0.053128083814945416,-0.4578989089640415,0.14160704935486168,-0.00888736788130417,0.09082303038446995,-0.04201242290994573,0.04251521209740777,0.006338763576812932,0.01938151222537186,5.0,17.5
36,circle_xy,False,18.0,0.02,60,10,True,899,0.20686947268260183,21.643775300355628,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.07136978289179159,0.10476488516288515,-0.0012350775040699308,0.04912701054956519,-0.4407404912858255,0.17734036977554044,-0.007828942438986053,0.09069609897606473,-0.018053010250364373,0.03231668709754137,0.0021299066378595,0.007057099312018084,True,5.599055600469001,0.24317804717690739,-0.0745911912323506,0.12693913506774976,-0.000737062261109664,0.05040686837293497,-0.44318206042258523,0.1390922337737823,-0.008425433128437378,0.08659723905801084,-0.04035737572718536,0.043149859466572335,0.006055782042302763,0.01910112857992401,5.0,18.0
37,circle_xy,False,18.5,0.02,60,10,True,924,0.19991214789943046,25.94511900062207,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.06800909018331523,0.09919374121879165,-0.001147041483672983,0.04660366028827697,-0.4294299613057739,0.1729192793817198,-0.007426594098413246,0.08693020984775833,-0.016593084569523936,0.029663409275940546,0.0018911606426589979,0.006401087169163073,True,4.977878700941801,0.2363412652497414,-0.07123547897485859,0.12167618155997832,-0.0006524225217046019,0.04788881037143969,-0.42938183746340974,0.13587796453198175,-0.00798207085465413,0.08266849493571532,-0.03887466362054248,0.04318223917882639,0.005816524540657328,0.01881783600127928,5.0,18.5
38,circle_xy,False,19.0,0.02,60,10,True,949,0.19419184602319614,24.77882209874224,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.06482329821534472,0.09348641372975117,-0.0010652176336324434,0.044272495331421524,-0.4194623798517755,0.1688346336654944,-0.00708817538899991,0.08347861961473968,-0.015321326890780767,0.027427630953705564,0.0016883900454454442,0.005841603092606907,True,6.108084000414237,0.22943764927942498,-0.06737757520651108,0.11677841625465492,-0.0005750201243810973,0.04556313375272714,-0.4163975359011738,0.13278622168912632,-0.007568703010598778,0.07902134664609493,-0.037483924478327046,0.04296693861635258,0.005666958318433792,0.018516040847882647,5.0,19.0
39,circle_xy,False,19.5,0.02,60,10,True,974,0.18867859167150494,27.465384298702702,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.06182863356611615,0.08828097260416413,-0.0009994342367581675,0.042109269602530267,-0.4096609326913389,0.1644635408080192,-0.006735442943489672,0.08017673852628454,-0.014183536768132355,0.025395175798140303,0.001510134352978646,0.005343818184057328,True,4.857499199919403,0.22279760423124165,-0.06329418679092502,0.11220333158861838,-0.0005059096375627092,0.04340848232844805,-0.4042641074964923,0.12974626847651277,-0.007184538990069375,0.07564908227203614,-0.03624624795724505,0.04257666545303771,0.005591725103698967,0.0181946247627491,5.0,19.5
