sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi,nn_max_phi,nn_mean_phi,nn_std_phi,nn_min_theta,nn_max_theta,nn_mean_theta,nn_std_theta,nn_min_psi,nn_max_psi,nn_mean_psi,nn_std_psi
21,circle_xy,False,21.0,0.02,60,10,True,1049,0.117426489606135,32.03760990209412,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.0959581698897426,0.1166330075635597,-0.0009701406773017,0.0640287635210281,-0.1948790010567459,0.1366089846508549,-0.0034804986967741,0.0716913087958247,-0.0088673182839994,0.018514189725589,0.0037150139503634,0.0037415083541854,True,6.143340795650147,0.1312645474052651,-0.0936822049457993,0.1336676775785046,-0.0016648436487667,0.0655866695279406,-0.1840970030003304,0.1225663709568841,-0.003690254233627,0.0701552986145214,-0.0175562518298384,0.0276146024588504,0.0013897733071719,0.0112260478847821
22,circle_xy,False,21.0,0.02,60,10,True,1049,0.2536549297869492,35.316775698098354,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.1934831279904542,0.2298321395119834,-0.0021565897729325,0.1264454515043414,-0.3878488799602567,0.2591687490374292,-0.0069925656188314,0.1418043003180465,-0.0381145218437129,0.0265578596022224,0.0075934322847222,0.007290870503179,True,4.781393898418173,0.2721748332466874,-0.1817270883608668,0.2506496987376364,-0.0032994775746588,0.1288014990047569,-0.3591671882252295,0.2436343845044785,-0.0067866498608943,0.1342388121505081,-0.0520205762279918,0.0302955789345158,0.0049989743433299,0.0144251846287607
23,circle_xy,False,21.0,0.02,60,10,True,1049,0.3884689240321929,29.21761679800693,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.2934237182587876,0.3642557367792967,-0.0028142778421229,0.1882952292867667,-0.5733132755424439,0.3433399733036116,-0.0108291179225042,0.2052673568576535,-0.0917858368008227,0.0935046818994354,0.0199097835561699,0.0201872368908391,True,5.045997300068848,0.4226817339105814,-0.2848627144522005,0.3675691575706912,-0.0055971892215756,0.1880123841261954,-0.5306123751852875,0.3441101089284354,-0.01086191913083,0.1991984600014705,-0.1031492293616092,0.0729773248199798,0.0161126538241587,0.0255890909261954
24,circle_xy,False,21.0,0.02,60,10,True,1049,0.5452285048828871,26.847212699474767,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.380406652954619,0.5136065148070146,-0.0045963091303249,0.2483142206165373,-0.7484407947679268,0.400314540449365,-0.0136339067705573,0.2627111188333017,-0.1792886627485125,0.0953942467781034,0.0307755418953614,0.0345216178485841,True,5.543084798031487,0.6071050509933846,-0.3779343655182847,0.5268299151273905,-0.0079450659517526,0.2449168935140001,-0.6662121109888736,0.4449451324196936,-0.0146548018959145,0.261389857477126,-0.1948252304380737,0.1217039307658674,0.0256034471769693,0.0418551392282605
25,circle_xy,False,12.5,0.02,60,10,True,624,0.4580693845722872,22.20023220090661,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.3154141278654465,0.3351475637299121,0.0171795722444381,0.1613489539408169,-0.7278531491230085,0.2976862257159736,-0.0057499515174144,0.2083822820015869,-0.1110619481348527,0.0679984943187874,0.0071848984736992,0.0232344561759591,True,3.620987799251452,0.4757427326145382,-0.2889465359766463,0.3534163424485577,0.0162432597192487,0.1608023228897729,-0.7133256069580172,0.3169735311017971,-0.0041094514702275,0.2082463507573835,-0.147507905896049,0.0725999494388834,0.0106710795789694,0.0376379449314165
26,circle_xy,False,12.5,0.02,60,10,True,624,0.5545557724809688,15.042831799364649,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.3591709001360526,0.4180378207190933,0.0203758051879231,0.1929996360130939,-0.861713934627658,0.3260545406897481,-0.0071729516283427,0.2459983507206176,-0.1751710126991895,0.0691598182434184,0.0085003245998463,0.0319845359907511,True,2.5930087993619964,0.5994188155149097,-0.3144162627906107,0.4650009857140532,0.018858045230483,0.1914010912514723,-0.8189919759149568,0.3917901486584696,-0.0067486985766564,0.2465451731285426,-0.2342222557239478,0.0870005195486389,0.0135381266291187,0.0551835654491897
27,circle_xy,False,12.5,0.02,60,10,True,624,0.6631657722394517,14.640994399785995,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.4013526275294685,0.5354113065070724,0.0229981346780936,0.224605514689781,-0.9884594771078244,0.4069722051520072,-0.0071036440285,0.2836035309573209,-0.2751407671378689,0.0460399889405704,0.0049857308195894,0.0447409363129526,True,3.6916142988484353,0.7525745359765237,-0.3345823713220038,0.5984024551074386,0.0214534690079103,0.2232913646779033,-0.9156492725770244,0.4580822618857145,-0.0095980038071117,0.2844709700834882,-0.3451367415608224,0.1001560707411602,0.0164819634585522,0.0770562952898605
28,circle_xy,False,12.5,0.02,60,10,True,624,0.800932388358085,16.84224779973738,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.4496846078710406,0.6749517520309728,0.0276261420570242,0.2581795047165289,-1.0993476512207596,0.5193636500041824,-0.0072203768613799,0.3205934772516681,-0.4125245968777339,0.0586928174854127,0.0031740829864676,0.0650490485498686,True,3.224563100724481,0.9275238678087818,-0.3520585497660493,0.755985532238633,0.0237579142887042,0.2587706370650566,-0.9945727098021238,0.5315748524804436,-0.0128531960291536,0.3216169141578385,-0.4801965894694839,0.1279089521821592,0.0188892188569248,0.1045596649647871
29,circle_xy,False,12.5,0.02,60,10,True,624,1.0426594824190727,15.539785998756996,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.5092908572156823,0.8691959764560077,0.0422018510939328,0.2999338041017484,-1.1992281528784572,0.8083546346417927,-0.0067983017099894,0.3730175758023357,-0.6274086284144214,0.2028453984565917,0.0087140825386723,0.125222327568875,True,3.414285002159886,1.1359986606987185,-0.4502374568582124,0.95159830077183,0.0324449164125903,0.3058512623402434,-1.0610155833118875,0.728504615070681,-0.0209910319827811,0.3546071761640576,-0.6610500588839145,0.2143228086692102,0.0362598486925477,0.1433914099446067
30,circle_xy,False,13.75,0.02,60,10,True,687,0.4090423746729095,17.874742701998912,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.2982803870548323,0.2700375784735571,0.0142319250307833,0.1352441517866859,-0.6782732244032058,0.2691420093903683,-0.0035419293096265,0.1816655838871371,-0.0839361746793101,0.0341517643028383,0.0035648852491501,0.0156378025039348,True,3.3897721014218405,0.4091318402126334,-0.2825026985465788,0.2884187564121209,0.013498017416854,0.1367304271512359,-0.6868021871295743,0.2645175477898938,-0.0022910317920812,0.1825061886707469,-0.116089188119198,0.0626057898267565,0.0102423869487182,0.0314845214396066
31,circle_xy,False,13.75,0.02,60,10,True,687,0.4928250808081088,18.94178579864092,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.3417719657477284,0.3426317297510841,0.0169936854499386,0.1629758602861455,-0.8040949067719455,0.2908753912671031,-0.0048026965965185,0.2136521965678344,-0.130566191039828,0.070903811560807,0.0063102713630872,0.0249640003349529,True,3.849285397795029,0.5100013576735104,-0.3080514601059054,0.3773413636469276,0.0158613321156798,0.1619017256743212,-0.7872633412352592,0.3313023578347188,-0.0034611358754466,0.2165857867657081,-0.1821734297776727,0.0796616968667566,0.0111084877621683,0.0443951368149164
32,circle_xy,False,13.75,0.02,60,10,True,687,0.5702565803426409,20.580107699381188,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.3791386745263684,0.4220184528964017,0.0192491813816269,0.1891242478405538,-0.9284899671939544,0.3344606361283836,-0.0052139474014783,0.2461189469470978,-0.1970788880228778,0.047164528112091,0.0044222979114976,0.0316221172803084,True,5.828121499624103,0.6331130085352494,-0.3310524424038158,0.4855346123379521,0.0182506340622463,0.1882035236181056,-0.8843522996112809,0.3997750172794734,-0.0056862355197483,0.2496387170438011,-0.2718668207858546,0.089240895664142,0.0136921112507044,0.0621701543827582
33,circle_xy,False,13.75,0.02,60,10,True,687,0.6704968091305501,29.388090599211864,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.4227291410598257,0.5286098366205784,0.021725845985524,0.2161188413763745,-1.036655959031686,0.4343501606906948,-0.004060376906116,0.2790523652098107,-0.2932710678774654,0.0405953790889256,0.0007483505007507,0.0445993264740591,True,4.39057079993654,0.7761438521282343,-0.3507050387303446,0.610949426010324,0.0206831216678746,0.2164197949428448,-0.9655069599839544,0.4618958676817687,-0.0078137440362813,0.2822485571602715,-0.3793172870975071,0.106509318827854,0.0156940917890536,0.0824196650326915
34,circle_xy,False,13.75,0.02,60,10,True,687,0.7769526318530143,17.92235330073163,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.4743873232454526,0.6561934020250934,0.0268465785654356,0.2435610850983701,-1.1382812968285323,0.5154447489082808,-0.00443391920061,0.3104758008990707,-0.4278998051053505,0.0494302682029579,0.0029719847858346,0.0640005764988088,True,4.366484799538739,0.9464258414839544,-0.369189844734464,0.7625045193438542,0.0231568722547785,0.2494863523323548,-1.0344197985159262,0.5497401418513651,-0.0102405838530508,0.3144647259966641,-0.51428437559653,0.1320055086271706,0.0190109237573115,0.108350698361512
35,circle_xy,False,15.0,0.02,60,10,True,749,0.3630632763502244,23.249222800252028,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.2491546106378329,0.2204720047343104,0.0125260278129913,0.1135679647542619,-0.6320306031698972,0.2395177918553046,-0.0026701578973015,0.1591684040470923,-0.0643512077110133,0.0169103009036014,0.0012355014822692,0.0107511897115741,True,3.55425460182596,0.3589637809067486,-0.2689222575145699,0.2422025785293119,0.0112615764171934,0.1175167786623041,-0.651264254378712,0.2272342675165966,-0.0015812716152306,0.1596881613370821,-0.0914622886127023,0.0558631950521132,0.0108037823165705,0.027471060143265
36,circle_xy,False,15.0,0.02,60,10,True,749,0.445702098806455,18.85611909860745,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.3176656257268636,0.2832783258268215,0.013927251665143,0.1389312489780413,-0.748968739005633,0.2711919389749793,-0.0029689893826668,0.1872036165290289,-0.0988647210344794,0.0351543978898116,0.0032303730275473,0.017113118285774,True,3.1280924000311643,0.4451514740846533,-0.299579860721309,0.3097854047572276,0.0133466264393597,0.1390787396103764,-0.7585877706833417,0.2776906911990881,-0.0020821227324956,0.1918324078934961,-0.1435093267768125,0.0709851477795242,0.0105865003821764,0.0367902956457909
